feature,importance
rolling_mean_7,0.43591768
snowfall_sum,0.13095845
cat_id,0.112007126
lag_1,0.064120084
has_event_2,0.051689636
weather_code,0.04607177
temperature_2m_mean,0.034018695
temp_x_weekend,0.018345227
has_any_event,0.012837842
is_weekend,0.012487256
quarter,0.01177588
temp_x_month,0.011301069
temperature_2m_min,0.007597049
sell_price,0.0049140253
precipitation_sum,0.004867259
is_snowy,0.0047433157
rain_sum,0.004292447
month,0.0036828439
temperature_2m_max,0.0035136496
apparent_temperature_min,0.0031123182
rain_x_cat,0.0030785236
temp_x_cat,0.0028412961
apparent_temperature_max,0.002288102
temp_x_rain,0.0022660384
rain_x_weekend,0.0022076208
day_of_year,0.0021341527
has_event_1,0.0016236013
weekday,0.0013421557
week_of_year,0.0012133452
snap,0.00081592926
day_of_month,0.0007321421
wind_speed_10m_max,0.0007071831
year,0.00049641595
is_hot,0.0
is_cold,0.0
store_id,0.0
is_rainy,0.0
