feature,importance
rolling_mean_7,0.22458103
snowfall_sum,0.19714253
temperature_2m_mean,0.162663
lag_1,0.10406611
temp_x_month,0.054757774
weather_code,0.05136606
temperature_2m_min,0.042710718
is_snowy,0.03910023
has_event_2,0.018575924
temp_x_weekend,0.01743213
sell_price,0.016453568
temperature_2m_max,0.011600179
temp_x_cat,0.007996994
apparent_temperature_max,0.006939805
has_any_event,0.0064196717
apparent_temperature_min,0.0057998938
precipitation_sum,0.0052529164
is_weekend,0.0049617114
rain_x_cat,0.0040434296
weekday,0.0034995202
rain_sum,0.0029406596
temp_x_rain,0.001916155
snap,0.0016649356
rain_x_weekend,0.0012401002
day_of_year,0.0008354891
price_pct_change_1,0.0008347446
has_event_1,0.0007452525
week_of_year,0.0007334464
price_change_7,0.0007118415
price_change_1,0.0006306517
wind_speed_10m_max,0.0006306022
day_of_month,0.0006276834
month,0.000612068
year,0.0005131545
store_id,0.0
lag_zero_1,0.0
quarter,0.0
is_hot,0.0
is_rainy,0.0
is_cold,0.0
