date,total_quantity,total_revenue,Baby,Baking/ Spices/ Condiments,Beverages,Cleaning,Dairy,Food,Fruits,Hygiene,Meat,Miscellaneous,Pet,School Supplies,Snacks,Vegetables,day_of_week,month,is_weekend,is_open_day,lag_1,lag_3,lag_7,rolling_3,rolling_7
2025-12-01,265,499.89,1,24,31,8,9,81,8,17,0,12,2,10,23,39,0,12,0,1,0.0,0.0,0.0,499.89,499.89
2025-12-02,36,61.4,2,1,8,0,0,10,4,3,0,0,0,0,2,6,1,12,0,1,499.89,0.0,0.0,280.645,280.645
2025-12-03,213,500.36,1,22,25,11,6,48,7,9,20,4,7,3,6,44,2,12,0,1,61.4,0.0,0.0,353.8833333333334,353.8833333333334
2025-12-04,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,500.36,499.89,0.0,187.25333333333333,265.4125
2025-12-05,643,1764.74,0,56,80,49,41,95,22,123,25,29,7,4,72,40,4,12,0,1,0.0,61.4,0.0,755.0333333333333,565.278
2025-12-06,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,1764.74,500.36,0.0,588.2466666666667,471.065
2025-12-07,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,0,0.0,0.0,0.0,588.2466666666668,403.77
2025-12-08,396,965.05,2,33,48,21,8,83,8,65,10,19,6,9,52,32,0,12,0,1,0.0,1764.74,499.89,321.68333333333334,470.2214285714286
2025-12-09,74,162.38,0,1,16,3,2,15,2,10,0,1,0,5,19,0,1,12,0,1,965.05,0.0,61.4,375.80999999999995,484.6471428571428
2025-12-10,320,740.18,0,39,37,15,8,83,7,46,6,8,6,2,36,27,2,12,0,1,162.38,0.0,500.36,622.5366666666666,518.9071428571427
2025-12-11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,740.18,965.05,0.0,300.8533333333333,518.9071428571427
2025-12-12,346,863.45,0,11,54,24,22,65,3,47,13,18,0,2,62,25,4,12,0,1,0.0,162.38,1764.74,534.5433333333334,390.15142857142854
2025-12-13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,863.45,740.18,0.0,287.81666666666666,390.15142857142854
2025-12-14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,0,0.0,0.0,0.0,287.81666666666666,390.15142857142854
2025-12-15,75,124.39,0,2,7,1,4,30,0,3,2,2,7,4,5,8,0,12,0,1,0.0,863.45,965.05,41.46333333333333,270.0571428571429
2025-12-16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,124.39,0.0,162.38,41.46333333333333,246.85999999999999
2025-12-17,239,502.01,4,26,33,9,18,57,1,22,2,6,8,1,30,22,2,12,0,1,0.0,0.0,740.18,208.79999999999998,212.83571428571426
2025-12-18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,502.01,124.39,0.0,167.33666666666667,212.83571428571426
